"","short.id","IGSN","Location","Site","Position","id","year","month","top_depth_cm","bottom_depth_cm","ppm_C","eoc_dry_mass","c_per_g_soil","eoc_method","ppm_C_sd","eoc_dry_mass_sd","c_per_g_soil_sd"
"64","LUQ-008","IECZM006C","LUQ","EV","R","LUQ-EV-R",2022,1,60,70,13.39,3.2,0.0836875,"hot water",NA,NA,NA
"65","LUQ-009","IECZM005R","LUQ","EV","M","LUQ-EV-M",2022,1,50,60,14.6,3.28,0.08902439,"hot water",NA,NA,NA
"66","LUQ-010","IECZM0061","LUQ","EV","M","LUQ-EV-M",2022,1,150,160,2.93,3.29,0.01781155,"hot water",NA,NA,NA
"67","LUQ-011","IECZM005M","LUQ","EV","M","LUQ-EV-M",2022,1,0,10,35.19,2.66,0.264586466,"hot water",NA,NA,NA
"68","LUQ-012","IECZM006A","LUQ","EV","R","LUQ-EV-R",2022,1,40,50,0,2.9,0,"hot water",NA,NA,NA
"69","LUQ-013","IECZM006R","LUQ","EV","T","LUQ-EV-T",2022,1,10,20,29.31,2.77,0.211624549,"hot water",NA,NA,NA
"70","LUQ-014","IECZM006I","LUQ","EV","R","LUQ-EV-R",2022,1,120,130,5.77,3.3,0.034969697,"hot water",NA,NA,NA
"71","LUQ-015","IECZM006N","LUQ","EV","R","LUQ-EV-R",2022,1,170,180,2.24,3.35,0.013373134,"hot water",NA,NA,NA
"72","LUQ-016","IECZM005Y","LUQ","EV","M","LUQ-EV-M",2022,1,120,130,10.48,3.25,0.064492308,"hot water",NA,NA,NA
"73","LUQ-017","IECZM0070","LUQ","IC","M","LUQ-IC-M",2022,1,20,30,31.07,3.8,0.163526316,"hot water",NA,NA,NA
"74","LUQ-018","IECZM008C","LUQ","IC","T","LUQ-IC-T",2022,1,30,40,13.23,3.71,0.071320755,"hot water",NA,NA,NA
"75","LUQ-019","IECZM008E","LUQ","IC","T","LUQ-IC-T",2022,1,50,60,9.3,3.7,0.05027027,"hot water",NA,NA,NA
"76","LUQ-020","IECZM008K","LUQ","IC","T","LUQ-IC-T",2022,1,110,180,29.21,3.61,0.161828255,"hot water",NA,NA,NA
"77","LUQ-021","IECZM006S","LUQ","EV","T","LUQ-EV-T",2022,1,20,30,30.89,3.02,0.204569536,"hot water",NA,NA,NA
"78","LUQ-022","IECZM005W","LUQ","EV","M","LUQ-EV-M",2022,1,100,110,6.03,3.2,0.0376875,"hot water",NA,NA,NA
"79","LUQ-023","IECZM005V","LUQ","EV","M","LUQ-EV-M",2022,1,90,0,7.47,3.22,0.046397516,"hot water",NA,NA,NA
"80","LUQ-024","IECZM0062","LUQ","EV","M","LUQ-EV-M",2022,1,160,170,3.26,3.25,0.020061538,"hot water",NA,NA,NA
"81","LUQ-025","IECZM005Z","LUQ","EV","M","LUQ-EV-M",2022,1,130,140,8.69,3.21,0.054143302,"hot water",NA,NA,NA
"82","LUQ-026","IECZM005N","LUQ","EV","M","LUQ-EV-M",2022,1,10,20,50.745,3.04,0.333848684,"hot water",0.516187950266177,0,0.00339597365474349
"83","LUQ-027","IECZM007J","LUQ","IC","M","LUQ-IC-M",2022,1,180,190,3.91,3.79,0.020633245,"hot water",NA,NA,NA
