treatment,f,rep,p,t,veg_treat,aml_trt,sample_type,s,horizon,depth_upper,depth_lower,d,Soil Carbon,Hydrogen,Nitrogen,Bulk density,CN
C2OM1,1,3,10,1,No,3,soil,4,mineral,0,10,1,5.227,1.246,0.232,0.92,22.53017241
C2OM1,1,3,10,1,No,3,soil,4,mineral,20,30,3,2.014,0.828,0.088,1.09,22.88636364
C2OM1,1,1,10,2,Yes,1,soil,1,mineral,0,10,1,21.48,2.378,0.305,1.09,70.42622951
C2OM1,1,1,10,2,Yes,1,soil,1,mineral,10,20,2,8.239,1.402,0.148,1.68,55.66891892
C2OM1,1,1,10,2,Yes,1,soil,1,mineral,20,30,3,1.926,0.419,0.019,1.75,101.3684211
C2OM1,1,2,10,2,Yes,2,soil,2,mineral,0,10,1,3.033,1.119,0.152,1.02,19.95394737
C2OM1,1,2,10,2,Yes,2,soil,2,mineral,20,30,3,1.29,0.742,0.07,1.16,18.42857143
C2OM1,1,3,10,2,Yes,3,soil,5,mineral,0,10,1,0.458,0.444,0.027,0.85,16.96296296
C2OM1,1,3,10,2,Yes,3,soil,5,mineral,10,20,2,1.004,0.491,0.02,1.31,50.2
C2OM1,1,3,10,2,Yes,3,soil,5,mineral,20,30,3,1.648,0.788,0.083,1.56,19.85542169
