unit_levels,Var_long,var,givenUnit,unitConversionFactor
mg g-1,root biomass lignin,bgb_lignin,mg g-1,1.0000
g/m2/y,Wood litterfall C flux,wood_lit_c,g/m2/y,1.0000
kg/ha/y,Wood litterfall C flux,wood_lit_c,g/m2/y,10.0000
gDM/m2/y,Wood litterfall C flux,wood_lit_c,g/m2/y,NA
kgDM/ha/y,Wood litterfall C flux,wood_lit_c,g/m2/y,NA
t/ha/y,Wood litterfall C flux,wood_lit_c,g/m2/y,NA
ug g-1 d-1,Wood litterfall C flux,wood_lit_c,g/m2/y,NA
g/m2/y,Wood litterfall N flux,wood_lit_n,g/m2/y,1.0000
kg/ha/y,Wood litterfall N flux,wood_lit_n,g/m2/y,10.0000
gDM/m2/y,Wood litterfall N flux,wood_lit_n,g/m2/y,NA
kgDM/ha/y,Wood litterfall N flux,wood_lit_n,g/m2/y,NA
t/ha/y,Wood litterfall N flux,wood_lit_n,g/m2/y,NA
ug g-1 d-1,Wood litterfall N flux,wood_lit_n,g/m2/y,NA
%,Bulk Layer Total Carbon,lyr_c_tot,percent,1.0000
g kg-1,Bulk Layer Total Carbon,lyr_c_tot,percent,0.1000
mg kg-1,Bulk Layer Total Carbon,lyr_c_tot,percent,0.0001
mg g-1,Bulk Layer Total Carbon,lyr_c_tot,percent,0.1000
ug g-1,Bulk Layer Total Carbon,lyr_c_tot,percent,0.0001
%,Bulk Layer Organic Carbon (CN analyzer) concentration,lyr_soc,percent,1.0000
g kg-1,Bulk Layer Organic Carbon (CN analyzer) concentration,lyr_soc,percent,0.1000
mg kg-1,Bulk Layer Organic Carbon (CN analyzer) concentration,lyr_soc,percent,0.0001
mg g-1,Bulk Layer Organic Carbon (CN analyzer) concentration,lyr_soc,percent,0.1000
ug g-1,Bulk Layer Organic Carbon (CN analyzer) concentration,lyr_soc,percent,0.0001
g m-2,Bulk Layer Organic Carbon (CN analyzer) stock,lyr_soc_stock,g C m-2,1.0000
